player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
Santorin,DK,6,0.833,8.8,5.3,1.8,10.8,6.8,418,0.725,16.3,539,1.36,0.27,0.35,0.19,428,6,378,0.16699999999999998,0.0,0,3
Satan,GR,10,0.8,4.8,3.6,2.2,7.0,7.5,387,0.591,22.9,656,0.56,0.23,0.12,0.05,54,0,114,0.1,0.1,0,4
Sayn,DZ,8,0.625,5.6,5.3,2.4,8.0,8.5,416,0.703,31.4,849,0.89,0.41,0.16,0.13,199,-4,-77,0.375,0.125,0,3
ScaryJerry,US,5,0.2,2.0,1.6,2.8,4.0,9.3,389,0.496,23.7,602,0.91,0.38,0.22,0.18,-131,-4,-92,0.2,0.0,0,1
Scorth,TR,8,0.5,5.7,5.4,1.8,4.6,9.6,429,0.6779999999999999,28.8,716,0.8,0.33,0.23,0.07,-146,-6,-261,0.375,0.0,0,0
Scout,KR,8,0.75,9.1,3.6,1.3,7.8,8.9,429,0.71,25.9,763,0.93,0.31,0.18,0.14,261,0,0,0.0,0.0,0,0
SeTab,KR,8,0.75,5.0,3.6,2.3,7.6,8.2,424,0.6659999999999999,26.6,742,1.19,0.39,0.28,0.24,322,0,0,0.0,0.0,0,0
Seal,NL,8,0.375,3.6,1.1,3.4,11.1,1.1,250,0.815,7.9,185,3.61,1.94,0.42,0.6,-25,0,6,0.375,0.25,0,0
Seaz,AT,4,0.0,1.3,1.0,3.3,3.3,1.0,226,0.446,7.8,178,3.23,2.01,0.24,0.52,281,5,644,0.0,0.0,0,0
Sebekx,PL,7,0.857,4.3,4.4,2.6,6.6,8.3,421,0.665,26.4,733,1.19,0.41,0.25,0.12,220,5,-173,0.0,0.14300000000000002,0,1
Sekkou,HU,2,0.5,1.8,1.0,5.5,9.0,0.6,252,0.708,7.2,181,2.78,1.5,0.21,0.43,273,-5,-238,0.5,0.0,0,0
Selenex,ES,9,0.111,1.5,1.1,2.7,2.8,7.3,323,0.42200000000000004,19.7,490,0.95,0.46,0.09,0.2,-778,-8,-284,0.444,0.111,0,3
Send0o,ES,9,0.556,2.2,2.8,4.1,6.4,6.7,361,0.46799999999999997,20.9,612,0.96,0.3,0.19,0.1,-938,-22,-583,0.111,0.111,0,2
Serin,TR,7,0.5710000000000001,6.4,5.3,1.7,5.7,8.8,431,0.7140000000000001,27.8,743,1.02,0.44,0.22,0.21,212,-1,-258,0.14300000000000002,0.0,0,2
Sertuss,DE,6,0.667,7.1,5.0,2.0,9.2,8.5,421,0.7040000000000001,23.0,727,1.19,0.54,0.23,0.19,283,1,149,0.0,0.0,0,0
Shanks,CN,7,0.857,5.6,6.6,2.7,8.7,8.1,437,0.675,23.6,677,0.82,0.21,0.2,0.07,160,0,0,0.0,0.0,0,0
