player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
Doran,KR,10,0.7,2.4,2.1,2.7,4.5,8.2,398,0.419,19.4,510,0.91,0.37,0.13,0.19,333,12,334,0.1,0.0,0,1
Doss,DK,4,0.75,4.9,0.5,3.0,14.3,1.0,266,0.722,8.1,240,3.32,1.5,0.44,0.32,137,-1,165,0.25,0.0,0,0
Drakehero,BR,2,0.0,1.1,0.5,4.5,4.5,5.6,289,0.444,14.9,339,1.55,0.39,0.41,0.35,-538,-6,-142,0.0,0.0,0,0
Driver,TW,7,0.857,4.9,0.6,1.1,5.0,7.6,355,0.39299999999999996,18.6,554,0.9,0.45,0.09,0.14,432,18,753,0.28600000000000003,0.0,0,0
Druk,IT,2,0.0,1.3,1.5,3.0,2.5,7.6,334,0.792,29.8,458,0.68,0.36,0.09,0.05,-1446,-14,-580,0.5,0.0,0,0
DuDu,KR,13,0.308,2.8,2.5,2.5,4.3,7.9,366,0.632,21.8,551,1.02,0.34,0.18,0.16,18,3,60,0.154,0.154,0,4
Duro,KR,8,0.75,4.5,0.9,3.0,12.8,0.9,270,0.8079999999999999,5.7,180,3.42,1.68,0.38,0.53,338,-5,-44,0.625,0.0,0,0
Eckas,LT,9,0.556,4.3,2.6,2.8,9.4,5.9,354,0.773,16.9,458,1.5,0.33,0.36,0.23,70,-6,-112,0.444,0.0,0,0
Ecstassy,RO,9,0.111,2.2,3.1,2.8,3.1,8.3,378,0.634,25.9,626,0.86,0.34,0.21,0.08,-445,-6,-324,0.33299999999999996,0.111,0,1
Eddie,VN,6,0.667,5.2,5.3,2.5,7.7,9.3,455,0.6970000000000001,29.4,887,1.13,0.42,0.26,0.13,736,14,950,0.33299999999999996,0.0,0,2
Efias,UA,6,0.5,3.5,1.0,3.8,12.5,1.0,250,0.742,8.2,243,3.4,1.61,0.44,0.4,-273,2,-98,0.5,0.16699999999999998,0,0
Eika,FR,4,0.75,8.6,3.0,1.3,7.8,8.2,405,0.7090000000000001,26.1,648,1.17,0.5,0.24,0.18,-642,-9,-63,0.25,0.0,0,2
ElOjoNinja,ES,9,0.0,0.9,1.3,4.0,2.4,5.4,308,0.688,13.5,283,1.06,0.21,0.23,0.2,-1023,-17,-693,0.33299999999999996,0.33299999999999996,0,0
Elijah,DK,6,0.33299999999999996,2.6,3.7,2.7,3.2,8.5,413,0.511,23.6,630,1.03,0.29,0.19,0.09,-28,0,92,0.16699999999999998,0.0,0,4
Elio,VN,8,0.375,2.8,0.6,3.4,8.9,1.2,248,0.805,8.1,175,3.44,1.88,0.42,0.6,113,3,251,0.25,0.125,0,0
Elk,CN,6,1.0,8.6,4.8,1.3,6.7,9.6,481,0.642,27.2,732,1.11,0.42,0.32,0.13,706,0,0,0.0,0.0,0,0
Ellim,KR,8,0.0,1.8,2.0,4.0,5.1,6.2,338,0.8170000000000001,14.5,335,1.43,0.41,0.32,0.37,4,-2,-138,0.375,0.0,0,0
Elyoya,ES,6,0.833,5.6,2.5,2.0,8.7,6.4,360,0.71,16.4,449,1.62,0.44,0.36,0.41,384,14,672,0.16699999999999998,0.33299999999999996,0,0
Empyros,GR,4,0.75,3.9,3.0,2.3,5.8,8.2,393,0.584,23.0,558,1.15,0.33,0.18,0.18,-142,-4,-136,0.0,0.25,0,2
Enjawve,FR,6,0.16699999999999998,1.5,0.3,5.2,7.5,1.9,247,0.687,9.0,201,2.79,1.5,0.32,0.47,164,13,432,0.33299999999999996,0.16699999999999998,0,0
Envyy,KR,10,0.7,5.5,4.5,2.3,8.1,8.9,438,0.726,25.7,721,0.89,0.36,0.25,0.1,65,3,489,0.3,0.0,0,0
Erdote,PL,4,0.75,1.9,0.5,4.3,7.8,0.9,227,0.561,5.6,139,3.91,2.33,0.39,0.59,-167,3,10,0.5,0.0,0,0
Escik,PL,9,0.444,3.1,3.7,3.0,5.8,8.4,396,0.6809999999999999,27.0,639,1.01,0.45,0.17,0.17,20,2,141,0.222,0.111,0,2
Ethe,ES,9,0.0,0.6,0.9,4.0,1.3,8.2,347,0.35,23.4,489,0.59,0.27,0.08,0.08,-406,-7,-595,0.0,0.0,0,0
Evi,JP,8,0.125,0.8,0.9,4.1,2.5,6.7,315,0.37200000000000005,22.4,522,0.92,0.4,0.1,0.14,-538,-18,-688,0.0,0.25,0,0
Execute,KR,6,0.16699999999999998,2.0,0.3,4.5,8.5,0.9,238,0.7829999999999999,8.2,156,3.88,2.21,0.44,0.61,96,-5,-173,0.33299999999999996,0.16699999999999998,0,0
Exofeng,BG,9,0.556,5.7,7.2,2.8,8.7,8.7,449,0.785,28.5,865,0.73,0.3,0.22,0.01,186,-5,16,0.222,0.0,0,1
Eyla,AU,2,1.0,4.2,0.5,3.0,12.0,1.4,261,0.701,6.3,168,3.65,1.68,0.61,0.44,-70,-4,-486,0.0,0.0,0,0
FATE,KR,8,0.125,1.6,2.1,3.1,2.8,8.5,369,0.589,26.5,615,0.89,0.31,0.16,0.17,-419,-11,-386,0.25,0.0,0,1
FBI,AU,2,1.0,8.3,8.5,1.5,4.0,9.9,518,0.698,32.3,865,1.26,0.59,0.24,0.25,620,6,316,0.0,0.0,0,0
FIERCE,SE,7,0.429,3.1,5.3,2.9,3.6,9.3,432,0.731,31.0,890,0.84,0.37,0.13,0.06,37,-3,-126,0.14300000000000002,0.0,0,5
FIESTA,KR,5,0.8,7.1,7.6,2.2,8.0,9.0,488,0.731,31.6,969,1.22,0.45,0.24,0.23,934,14,628,0.0,0.2,1,4
Faded2,GR,7,0.429,2.8,4.9,4.0,6.4,8.3,412,0.61,30.7,880,0.86,0.39,0.18,0.04,141,6,-34,0.0,0.14300000000000002,0,3
Faetski,DK,6,0.16699999999999998,1.4,2.7,3.5,2.3,9.1,396,0.633,27.9,593,0.8,0.31,0.22,0.03,-695,-1,268,0.16699999999999998,0.33299999999999996,0,2
Faker,KR,10,0.7,4.3,2.1,1.9,6.1,8.7,400,0.508,25.7,669,1.03,0.39,0.2,0.15,-72,1,-6,0.1,0.1,0,2
Farfetch,TR,5,0.8,3.3,1.0,4.4,13.4,0.8,269,0.774,6.5,194,3.58,1.67,0.42,0.47,36,-1,-110,0.6,0.2,0,1
Feather,CN,8,0.75,5.0,0.6,2.8,13.0,1.2,264,0.81,6.6,183,3.67,1.83,0.5,0.61,76,0,0,0.0,0.0,0,0
Feisty,KR,9,0.667,5.9,4.2,1.9,6.9,8.5,434,0.708,29.8,770,1.08,0.42,0.26,0.23,889,16,290,0.444,0.111,0,5
Ferret,TR,9,0.667,5.9,2.9,1.8,7.6,6.1,377,0.623,14.1,384,1.45,0.29,0.33,0.23,570,2,158,0.556,0.111,0,2
Fisher,KR,9,0.33299999999999996,2.7,2.6,3.0,5.7,8.1,385,0.64,27.7,703,1.07,0.48,0.23,0.27,-351,-6,-179,0.0,0.222,0,3
Flakked,ES,6,0.33299999999999996,2.7,3.0,2.5,3.8,9.3,411,0.647,31.6,764,1.51,0.55,0.44,0.2,-192,-7,-330,0.0,0.0,0,0
Flandre,CN,7,0.857,4.5,3.0,3.1,11.0,7.3,389,0.61,21.0,620,1.16,0.37,0.26,0.17,-222,0,0,0.0,0.0,0,0
Fleshy,TR,4,1.0,3.8,0.3,3.3,12.3,1.0,269,0.792,9.7,241,4.18,2.07,0.6,0.52,92,-2,323,0.75,0.0,0,0
FlickeR,PT,3,1.0,19.0,7.3,0.7,5.3,9.3,547,0.809,27.6,749,0.81,0.31,0.23,0.03,1315,7,329,0.33299999999999996,0.0,0,0
Fluffy,TR,2,0.0,1.6,2.5,4.0,4.0,6.2,342,0.846,15.3,258,1.18,0.21,0.33,0.22,-1453,-13,-1142,0.0,0.5,0,0
FoFo,TW,6,1.0,7.6,3.7,1.7,9.0,8.7,443,0.7709999999999999,33.6,934,1.22,0.55,0.28,0.21,21,3,-323,0.16699999999999998,0.0,0,1
Fornoreason,DE,2,0.0,0.8,0.0,3.0,2.5,7.5,337,0.369,24.5,452,0.82,0.34,0.14,0.12,-578,-18,-436,0.0,0.0,0,0
Fresskowy,PL,9,0.556,3.9,3.9,2.4,5.6,8.9,426,0.628,25.5,661,1.1,0.44,0.21,0.19,186,6,170,0.33299999999999996,0.111,0,0
Frog,KR,8,1.0,6.9,3.0,1.4,6.5,7.8,393,0.514,18.6,561,1.0,0.4,0.11,0.25,255,3,486,0.125,0.125,0,1
Frost,HU,6,0.833,3.1,3.7,4.7,10.8,7.1,413,0.693,24.0,711,0.86,0.12,0.19,0.07,565,22,956,0.33299999999999996,0.33299999999999996,0,0
Fudge,AU,2,0.0,1.2,1.5,4.5,4.0,7.0,331,0.7440000000000001,21.4,414,0.76,0.39,0.07,0.05,-1628,-18,-730,0.0,0.5,0,0
Funk3y,DE,3,0.33299999999999996,7.2,5.3,1.7,6.7,9.9,435,0.6629999999999999,33.5,939,1.95,0.41,0.57,0.16,399,13,122,0.33299999999999996,0.0,0,0
Furuy,NL,3,1.0,37.0,3.7,0.3,8.7,8.9,443,0.764,30.0,830,0.72,0.45,0.1,0.14,945,18,838,0.0,0.0,0,0
Fuuu,BR,2,0.0,2.1,2.5,3.5,5.0,8.2,388,0.6559999999999999,28.8,658,0.98,0.47,0.13,0.2,710,20,698,0.0,0.5,0,1
GALA,CN,8,0.5,3.1,3.4,2.8,5.1,9.2,425,0.636,24.2,619,1.11,0.27,0.32,0.11,30,0,0,0.0,0.0,0,0
GIDEON,KR,9,0.33299999999999996,3.2,2.0,2.7,6.4,6.3,338,0.627,12.8,328,1.71,0.4,0.41,0.38,-55,1,-86,0.33299999999999996,0.0,0,0
GRAVE,TR,5,0.2,2.8,3.8,3.0,4.6,9.2,413,0.6859999999999999,27.3,729,0.81,0.29,0.24,0.1,-84,-8,-318,0.4,0.0,0,1
Gaeng,KR,8,0.125,1.4,0.9,4.6,5.6,1.0,234,0.8220000000000001,6.3,143,3.11,1.65,0.39,0.65,-42,-1,-294,0.375,0.0,0,0
Gakgos,TR,6,0.833,5.2,4.5,2.3,7.7,8.1,431,0.5720000000000001,18.6,573,0.72,0.37,0.1,0.11,398,16,-47,0.16699999999999998,0.0,0,2
Garden,KR,10,0.2,2.5,3.1,3.4,5.3,8.6,381,0.741,28.7,665,0.97,0.48,0.18,0.21,-524,-10,-358,0.4,0.1,0,2
Goliah,IT,3,0.667,6.7,6.7,2.0,6.7,6.8,409,0.852,17.5,437,0.91,0.23,0.16,0.45,478,-4,257,0.667,0.0,0,0
Gordinho,PT,3,0.33299999999999996,0.9,0.0,7.0,6.3,0.8,220,0.639,5.7,169,2.98,1.39,0.3,0.27,-376,-7,-576,0.33299999999999996,0.0,0,0
Grevthar,BR,2,1.0,3.6,3.0,3.5,9.5,7.8,393,0.642,19.1,628,1.12,0.48,0.13,0.26,-710,-20,-698,0.5,0.0,0,0
Grizzly,KR,10,0.3,3.7,4.5,3.1,7.0,7.3,387,0.828,18.2,477,1.38,0.36,0.3,0.33,390,13,494,0.2,0.1,0,0
Guigo,BR,3,0.33299999999999996,3.1,2.0,2.3,5.3,7.8,389,0.687,23.4,557,0.69,0.27,0.15,0.08,824,8,667,0.0,0.0,0,3
Guigs,BR,2,0.0,1.5,1.5,5.5,7.0,0.9,235,0.6559999999999999,7.0,161,3.53,1.76,0.35,0.51,-454,-8,-268,0.0,0.5,0,0
Gumayusi,KR,5,0.6,4.3,5.0,2.4,5.2,9.8,450,0.83,24.8,615,0.98,0.35,0.21,0.14,712,14,249,0.6,0.0,0,1
Gury,VN,7,0.7140000000000001,4.3,3.9,2.7,7.7,7.0,398,0.684,19.3,606,1.83,0.46,0.43,0.42,594,9,632,0.429,0.14300000000000002,0,1
Guwon,KR,7,0.28600000000000003,2.7,3.6,4.0,7.1,6.7,373,0.722,18.2,465,1.4,0.26,0.34,0.23,389,5,293,0.14300000000000002,0.14300000000000002,0,2
HONOR,FR,4,0.25,2.2,0.5,5.3,11.3,1.0,226,0.8170000000000001,11.4,302,3.6,1.97,0.39,0.54,-76,-2,102,0.25,0.5,0,1
Haetae,KR,9,0.667,3.2,1.9,2.1,4.8,7.6,378,0.469,25.2,632,1.1,0.43,0.19,0.19,107,2,267,0.0,0.111,0,2
Haichao,CN,7,0.14300000000000002,2.7,2.1,2.3,4.0,8.8,384,0.588,21.2,473,1.01,0.38,0.19,0.22,-115,0,0,0.0,0.0,0,0
HamBak,KR,9,0.33299999999999996,2.6,2.4,4.4,9.0,5.9,333,0.732,16.7,456,1.48,0.38,0.34,0.3,192,-4,-5,0.33299999999999996,0.0,0,0
Hanbyeol,KR,9,0.222,2.1,2.4,3.6,5.1,7.4,357,0.5760000000000001,20.7,559,0.98,0.43,0.13,0.18,164,9,298,0.111,0.0,0,2
Hang,CN,7,0.857,4.1,1.1,2.9,10.6,1.0,272,0.648,7.1,183,3.74,1.95,0.43,0.57,155,0,0,0.0,0.0,0,0
Hans SamD,KR,4,0.5,6.6,5.5,1.8,6.0,10.1,481,0.826,36.7,929,1.13,0.42,0.32,0.08,372,12,456,0.25,0.0,0,1
Hans Sama,FR,6,0.5,3.8,3.7,2.2,4.7,8.8,425,0.594,26.6,652,1.12,0.34,0.35,0.08,386,2,24,0.16699999999999998,0.16699999999999998,0,1
Harbo,DK,6,0.16699999999999998,1.2,2.2,5.0,3.7,7.3,352,0.574,27.3,672,0.8,0.26,0.16,0.08,-464,-12,-454,0.0,0.5,0,2
Harp,KR,7,0.28600000000000003,3.3,0.9,3.6,11.0,0.9,244,0.812,7.2,184,3.33,1.72,0.35,0.65,62,-2,92,0.28600000000000003,0.28600000000000003,0,0
Harpoon,PL,6,0.5,4.7,6.3,2.7,6.2,9.4,464,0.772,29.3,772,1.04,0.37,0.29,0.07,151,2,324,0.33299999999999996,0.0,0,0
Hattor1s,GR,7,0.28600000000000003,5.0,6.1,2.4,6.0,8.6,421,0.721,32.7,837,0.89,0.36,0.23,0.13,217,5,253,0.28600000000000003,0.0,0,1
HawHaw,NO,6,0.667,4.6,4.3,2.8,8.7,8.9,448,0.62,25.9,780,0.55,0.26,0.06,0.03,551,14,570,0.33299999999999996,0.33299999999999996,0,2
Hazel,RO,6,0.5,4.5,8.2,3.3,6.8,9.8,480,0.726,31.8,945,0.94,0.33,0.26,0.08,98,-1,-164,0.16699999999999998,0.16699999999999998,0,2
Hena,KR,2,0.0,3.3,3.5,2.0,3.0,9.4,403,0.955,32.2,607,0.93,0.41,0.13,0.08,211,12,588,0.0,0.0,0,0
Heng,CN,8,0.25,3.0,2.8,2.9,5.8,6.6,355,0.7190000000000001,18.8,472,1.3,0.36,0.28,0.29,178,0,0,0.0,0.0,0,0
Hery,CN,8,0.25,2.2,2.0,3.0,4.6,7.3,353,0.608,21.5,510,0.81,0.34,0.12,0.12,-132,0,0,0.0,0.0,0,0
Hidan,BR,2,0.0,1.3,2.0,4.5,4.0,7.8,353,0.556,18.9,433,0.95,0.42,0.13,0.17,-854,-16,-694,0.0,0.0,0,0
Highway,PL,6,0.16699999999999998,1.7,0.7,4.0,6.2,1.0,236,0.608,8.6,192,2.91,1.45,0.31,0.23,-267,-5,-25,0.16699999999999998,0.16699999999999998,0,0
Hiro02,VN,5,0.6,4.5,1.6,2.2,8.4,7.0,357,0.446,15.9,484,1.27,0.38,0.32,0.23,-263,-4,-437,0.0,0.0,0,2
Hiro1,FR,4,0.0,0.8,1.8,4.5,2.0,7.7,346,0.644,20.4,427,0.93,0.45,0.14,0.16,-613,-15,-106,0.0,0.5,0,1
Hizto,VN,6,0.667,4.8,5.0,2.8,8.7,6.4,386,0.7559999999999999,18.5,559,1.56,0.38,0.33,0.37,322,8,590,0.667,0.0,0,2
HongQ,TW,9,0.778,4.0,3.9,2.6,6.2,8.9,445,0.698,27.2,791,1.26,0.51,0.21,0.28,168,2,-31,0.111,0.0,0,4
Hope,CN,7,0.857,12.0,6.9,1.4,10.3,9.4,486,0.76,32.0,947,1.08,0.46,0.3,0.15,141,0,0,0.0,0.0,0,0
Howling,KR,4,0.5,3.9,3.3,2.3,5.5,7.8,384,0.636,22.5,577,1.0,0.38,0.18,0.09,98,0,-635,0.25,0.5,0,1
Hoya,KR,8,0.75,3.7,2.4,2.9,8.1,6.7,360,0.616,17.4,479,1.14,0.51,0.16,0.27,-466,0,0,0.0,0.0,0,0
Huhi,KR,2,0.0,1.7,1.0,3.0,4.0,1.6,238,0.5329999999999999,7.2,189,3.77,1.76,0.54,0.44,70,4,486,0.5,0.0,0,0
Humanoid,CZ,6,0.833,6.6,4.2,1.3,4.7,9.8,462,0.578,28.9,842,0.93,0.41,0.19,0.09,370,9,297,0.0,0.16699999999999998,0,0
Humzh,US,7,0.5710000000000001,2.7,3.9,3.1,4.7,8.6,424,0.547,23.5,610,0.9,0.28,0.31,0.07,-106,3,-32,0.28600000000000003,0.0,0,0
HungryPanda,GR,3,0.33299999999999996,2.4,1.3,4.7,10.0,1.0,252,0.778,10.1,226,3.43,2.0,0.33,0.61,-312,3,-260,0.33299999999999996,0.33299999999999996,0,0
Hustlin,SE,7,0.5710000000000001,2.3,0.7,4.6,9.7,1.0,248,0.6859999999999999,7.3,194,3.07,1.46,0.33,0.45,-140,-2,-309,0.28600000000000003,0.14300000000000002,0,0
Hybradge,IE,6,0.16699999999999998,1.5,2.0,4.7,5.0,6.2,333,0.6679999999999999,14.0,341,1.05,0.27,0.21,0.22,-358,-8,-541,0.0,0.16699999999999998,0,0
Hydra,ES,9,0.667,5.0,5.1,2.3,6.4,9.0,440,0.6920000000000001,25.9,733,0.98,0.51,0.13,0.22,275,7,243,0.111,0.111,0,2
Hylissang,BG,6,0.5,2.3,1.5,5.2,10.3,1.0,260,0.8390000000000001,7.2,190,3.22,1.67,0.42,0.42,105,5,432,0.5,0.33299999999999996,0,0
Hyorai,FR,2,0.5,5.0,1.5,2.5,11.0,1.0,258,0.755,10.1,221,3.2,1.5,0.44,0.37,-124,-10,9,0.5,0.0,0,0
Hype,KR,7,0.429,6.9,5.4,1.7,6.4,9.3,446,0.7709999999999999,32.1,789,1.33,0.48,0.32,0.18,169,3,308,0.429,0.0,0,0
Ice,KR,6,0.33299999999999996,4.4,3.2,2.0,5.7,10.0,432,0.6809999999999999,29.4,784,1.42,0.42,0.46,0.12,-453,-2,29,0.16699999999999998,0.0,0,1
Ihy0,FR,6,0.33299999999999996,2.6,2.5,2.7,4.5,6.6,331,0.535,18.1,416,0.59,0.35,0.07,0.06,-116,-5,104,0.0,0.0,0,2
IlllIma,KR,5,0.2,1.6,3.0,4.6,4.2,7.4,363,0.5670000000000001,23.7,614,0.85,0.25,0.2,0.1,61,-2,-219,0.0,0.0,0,2
Ilyxou,FR,3,0.667,4.7,0.3,2.0,9.0,6.5,329,0.674,21.2,505,0.51,0.25,0.07,0.05,-504,-18,-42,0.33299999999999996,0.0,0,1
Impact,KR,2,1.0,18.0,1.0,0.5,8.0,7.3,387,0.47,14.7,458,1.06,0.34,0.23,0.13,522,12,1166,0.0,0.0,0,0
Improver,MA,6,0.16699999999999998,1.5,1.7,4.0,4.3,7.6,347,0.528,20.9,483,0.76,0.24,0.17,0.12,-298,-6,-264,0.0,0.16699999999999998,0,0
Infinity,ES,9,0.111,2.9,2.9,2.4,4.2,5.9,333,0.7390000000000001,13.7,338,1.15,0.24,0.3,0.2,-287,-5,-406,0.444,0.0,0,1
Infoneral,BG,6,0.5,2.8,0.3,3.3,8.8,1.0,249,0.6859999999999999,7.5,225,3.11,1.53,0.37,0.32,-147,-1,35,0.0,0.16699999999999998,0,0
Innaxe,GB,6,0.5,3.8,7.7,3.5,5.7,9.0,448,0.7070000000000001,22.8,659,1.03,0.37,0.3,0.03,-248,9,372,0.33299999999999996,0.0,0,1
Inspired,PL,2,1.0,0.0,1.0,0.0,13.5,6.4,379,0.8029999999999999,10.7,295,1.18,0.34,0.23,0.1,186,5,50,0.5,0.0,0,0
